id,label,pmid_count
MXRA5,MXRA5,1
MYB,MYB,2
MYBL1,MYBL1,1
MYBL2,MYBL2,1
MYC,MYC,40
MYCN,MYCN,8
MYOD1,MYOD1,1
Mdm4,Mdm4,1
N33,N33,1
NAB2,NAB2,3
NANOG,NANOG,1
NBN,NBN,2
NCAPG,NCAPG,1
NCOA1,NCOA1,1
NCOA2,NCOA2,2
NCOA3,NCOA3,1
NCOR1,NCOR1,1
NDR1,NDR1,1
NDR2,NDR2,1
NEIL2,NEIL2,1
NEK2,NEK2,1
NEMO,NEMO,1
NF-κB,NF-κB,1
NF1,NF1,21
NF2,NF2,3
NFE2L2,NFE2L2,1
NFKB,NFKB,2
NFKB1,NFKB1,4
NFKB2,NFKB2,1
NFKBIA,NFKBIA,3
NIK,NIK,1
NK cells,NK cells,1
NKX2.2,NKX2.2,1
NKX3.1,NKX3.1,1
NM-23H1,NM-23H1,1
NME1,NME1,1
NOD1,NOD1,1
NOTCH,NOTCH,2
NOTCH1,NOTCH1,3
NOTCH2,NOTCH2,3
NOTCH4,NOTCH4,2
NPM1,NPM1,1
NR2F2,NR2F2,1
NRAS,NRAS,36
NRCAM,NRCAM,1
NRG1,NRG1,1
NS,NS,1
NSD2,NSD2,1
NSRP1,NSRP1,1
NSUN3,NSUN3,1
NTRK,NTRK,2
NTRK1,NTRK1,2
NTRK3,NTRK3,2
NUP107,NUP107,1
NUP98,NUP98,1
OGT,OGT,2
OIP5-AS1,OIP5-AS1,1
OS-4,OS-4,1
OS-9,OS-9,1
OS9,OS9,2
OSM,OSM,1
OTX2,OTX2,2
P16INK4,P16INK4,1
PAK1,PAK1,3
PALB2,PALB2,1
PARP,PARP,10
PARP1,PARP1,8
PAX3,PAX3,1
PAX7,PAX7,1
PBX3,PBX3,1
PCNA,PCNA,6
PD-1,PD-1,1
PD-L1,PD-L1,3
PD1,PD1,1
PDCD1,PDCD1,8
PDE4DIP,PDE4DIP,1
PDGFB,PDGFB,3
PDGFRA,PDGFRA,23
PDGFRB,PDGFRB,1
PDL1,PDL1,1
PDPK1,PDPK1,1
PEG10,PEG10,1
PGR,PGR,8
PI3K,PI3K,15
PI3KCA,PI3KCA,3
PIK3,PIK3,1
PIK3C2B,PIK3C2B,1
PIK3CA,PIK3CA,88
PIK3CB,PIK3CB,1
PIK3CD,PIK3CD,1
PIK3CG,PIK3CG,2
PIK3R1,PIK3R1,2
PIK3R4,PIK3R4,1
PIM1,PIM1,1
PKA,PKA,1
PKC,PKC,2
PKMYT1,PKMYT1,1
PLAU,PLAU,1
PLAUR,PLAUR,1
PLEC,PLEC,1
PLK1,PLK1,2
PLK4,PLK4,1
PML,PML,1
PMM2,PMM2,1
PMS2,PMS2,3
PNCA,PNCA,1
POLH,POLH,1
POT1,POT1,7
POU5F1,POU5F1,1
PPAR-纬,PPAR-纬,1
PPARG,PPARG,1
PPP4C,PPP4C,1
PR,PR,3
PRDM6,PRDM6,1
PRKAA1,PRKAA1,1
PRKCA,PRKCA,2
PRKCB,PRKCB,1
PRMT5,PRMT5,3
PRMT6,PRMT6,1
PRRX2,PRRX2,1
PTCH,PTCH,1
PTCH1,PTCH1,3
PTEN,PTEN,45
PTGS2,PTGS2,1
PTK2B,PTK2B,1
PTK7,PTK7,1
PTPN1,PTPN1,2
PTPN11,PTPN11,3
PTPRD,PTPRD,1
Ppm1d,Ppm1d,1
Prmt5,Prmt5,1
RAB22A,RAB22A,1
RAB38,RAB38,1
RAB3IP,RAB3IP,1
RAB7A,RAB7A,1
RAC1,RAC1,1
RAD50,RAD50,1
RAD51,RAD51,1
RAD51C,RAD51C,2
RAD51D,RAD51D,1
RAF,RAF,1
RAF1,RAF1,6
RANK,RANK,1
RANKL,RANKL,1
RAP1,RAP1,1
RAP1A,RAP1A,1
RAP1B,RAP1B,2
RAP1GAP,RAP1GAP,1
RARB,RARB,2
RAS,RAS,13
RASEF,RASEF,1
RASSF1,RASSF1,1
RASSF2,RASSF2,1
RB,RB,11
RB1,RB1,201
RBL1,RBL1,2
RBL2,RBL2,2
RCC,RCC,1
RECQL1,RECQL1,1
RECQL4,RECQL4,1
REL,REL,2
RELA,RELA,2
RELB,RELB,1
RERE-AS1,RERE-AS1,1
RET,RET,5
RNF43,RNF43,2
ROQUIN1,ROQUIN1,1
ROR2,ROR2,1
ROS1,ROS1,2
RPS6,RPS6,3
RPS6KA1,RPS6KA1,1
RPS6KB1,RPS6KB1,1
RRM2,RRM2,1
RSRC2,RSRC2,1
RTK,RTK,3
RTKs,RTKs,1
RUNX2,RUNX2,2
RUNX3,RUNX3,1
S100A6,S100A6,1
S6K1,S6K1,1
SAMD5,SAMD5,1
SAMHD1,SAMHD1,1
SAS,SAS,6
SB,SB,1
